,PlayerId,Name,Team,Catcher,First Base,Second Base,Third Base,Shortstop,Left Field,Center Field,Right Field,Designated Hitter,H,AB,R,2B,3B,HR,XBH,RBI,BB,SB,AVG,OBP,SLG
0,3280,Mike Trout,LAA,,,,,,,1.0,,,176.0,594.0,113.0,35.0,9.0,32.0,76.0,97.0,88.0,20.0,0.296,0.39,0.547
1,1643,Andrew McCutchen,Pit,,,,,,,1.0,,,179.0,576.0,96.0,36.0,6.0,27.0,69.0,84.0,79.0,21.0,0.311,0.399,0.535
2,2971,Giancarlo Stanton,Mia,,,,,,,,1,,155.0,562.0,92.0,33.0,1.0,40.0,74.0,106.0,93.0,9.0,0.276,0.381,0.552
3,3486,Paul Goldschmidt,Ari,,1.0,,,,,,,,173.0,582.0,102.0,48.0,2.0,29.0,79.0,101.0,90.0,15.0,0.297,0.391,0.536
4,1697,Carlos Gomez,Mil,,,,,,,1,,,162.0,584.0,95.0,32.0,6.0,26.0,64.0,73.0,44.0,40.0,0.277,0.343,0.486
5,897,Miguel Cabrera,Det,,1,,,,,,,1.0,176.0,554.0,94.0,42.0,1.0,29.0,72.0,109.0,63.0,2.0,0.318,0.386,0.554
6,961,Jose Bautista,Tor,,,,,,,,1,,150.0,541.0,100.0,28.0,0.0,34.0,62.0,94.0,97.0,7.0,0.277,0.39,0.518
7,969,Edwin Encarnacion,Tor,,1,,,,,,,1,147.0,545.0,87.0,30.0,2.0,36.0,68.0,102.0,78.0,6.0,0.27,0.365,0.53
8,5600,Jose Abreu,CWS,,1,,,,,,,1,171.0,597.0,78.0,31.0,1.0,34.0,66.0,100.0,55.0,3.0,0.286,0.355,0.513
9,1139,Robinson Cano,Sea,,,1.0,,,,,,,182.0,597.0,87.0,39.0,1.0,19.0,59.0,90.0,63.0,8.0,0.305,0.375,0.469
10,3215,Anthony Rizzo,ChC,,1,,,,,,,,164.0,588.0,91.0,34.0,1.0,34.0,69.0,89.0,74.0,6.0,0.279,0.369,0.514
